@relation adult_ICA-out4

@attribute A numeric
@attribute B numeric
@attribute C numeric
@attribute D numeric
@attribute class {<=50K,>5<=50KK}

@data
-0.000393,-0.000368,-0.002299,0.006182,<=50K
0.0007,0.003474,-0.000086,-0.000184,>5<=50KK
0.000116,0.000461,-0.000317,0.00093,>5<=50KK
-0.000102,-0.000183,-0.001268,0.003491,>5<=50KK
-0.000818,-0.002424,0.000174,-0.000452,<=50K
-0.001205,-0.007825,0.001953,-0.004843,<=50K
0.000589,0.003846,-0.001413,0.0035,<=50K
-0.000395,-0.002563,0.000978,-0.002502,<=50K
0.003615,0.014164,-0.003067,0.006498,<=50K
0.000878,0.005029,-0.000047,-0.000255,<=50K
-0.001139,-0.004563,-0.001313,0.004086,<=50K
-0.000047,-0.000179,-0.000405,0.001247,>5<=50KK
-0.000918,-0.005814,0.000402,-0.000601,<=50K
-0.012221,-0.050901,-0.006448,0.021209,<=50K
0.000827,0.004722,-0.002309,0.006059,<=50K
0.003055,0.011586,0.003421,-0.010412,<=50K
0.000146,0.003824,-0.00159,0.004038,<=50K
0.001466,0.007124,-0.000098,-0.000413,>5<=50KK
0.000243,0.000845,0.000613,-0.002124,<=50K
0.000626,0.002776,0.000615,-0.001799,<=50K
-0.001618,-0.008173,0.000262,0.000024,<=50K
0.003028,0.011444,0.001834,-0.006041,<=50K
-0.007628,-0.036945,-0.002936,0.011892,<=50K
-0.000122,0.000148,-0.000633,0.00171,<=50K
0.000495,0.003583,0.000438,-0.00177,<=50K
0.000386,0.003884,-0.003035,0.00814,<=50K
0.000289,0.001909,-0.000941,0.002472,<=50K
0.000079,0.001505,-0.002361,0.006382,<=50K
-0.006841,-0.029796,-0.003789,0.012935,<=50K
-0.000683,-0.007046,0.001368,-0.002467,<=50K
-0.00043,-0.002988,0.000661,-0.001492,<=50K
0.00026,0.001038,0.002874,-0.007785,<=50K
0.000546,0.000977,0.001829,-0.005038,<=50K
0.001189,0.005593,0.000281,-0.001476,<=50K
-0.000235,0.000285,-0.002117,0.00552,<=50K
0.000422,0.001384,-0.000326,0.000908,<=50K
0.000633,0.003082,-0.001155,0.00293,>5<=50KK
-0.000514,-0.002111,-0.001091,0.003264,>5<=50KK
-0.000934,-0.003182,0.000298,-0.000635,<=50K
0.001586,0.011089,-0.003051,0.007494,<=50K
-0.000141,-0.000458,-0.001377,0.003984,<=50K
0.000833,0.003229,0.002715,-0.007821,<=50K
0.000019,0.001304,0.000517,-0.001743,<=50K
