@relation adult_LDA-outV2

@attribute A numeric
@attribute Class {<=50K,>50K}

@data
0.411116,<=50K
0.036681,>50K
0.717698,>50K
0.23209,>50K
-0.365373,<=50K
0.130505,<=50K
0.587725,<=50K
0.019809,<=50K
0.01574,<=50K
-0.311617,<=50K
-0.277666,<=50K
0.245646,>50K
-0.237135,<=50K
-0.085353,<=50K
0.510637,<=50K
0.125094,<=50K
-0.06055,<=50K
0.297989,>50K
0.407259,<=50K
0.01082,<=50K
-0.385484,<=50K
-0.301947,<=50K
-0.314417,<=50K
-0.506128,<=50K
-0.359741,<=50K
0.704303,<=50K
0.522611,<=50K
0.325711,<=50K
0.02879,<=50K
-0.416784,<=50K
-0.414758,<=50K
-0.341769,<=50K
-0.308852,<=50K
-0.227691,<=50K
-0.172123,<=50K
-0.463666,<=50K
0.552186,>50K
0.188176,>50K
-0.397593,<=50K
-0.567663,<=50K
0.203228,<=50K
-0.338691,<=50K
-0.317872,<=50K
0.106657,<=50K
-0.305915,<=50K
0.127743,>50K
-0.12757,<=50K
0.086436,<=50K
0.136247,>50K
-0.187637,<=50K
-0.312927,<=50K
0.034454,<=50K
-0.552581,<=50K
0.042552,<=50K
0.161783,<=50K
0.007429,<=50K
0.424192,<=50K
-0.178331,<=50K
0.363807,>50K
-0.309501,<=50K
-0.022873,<=50K
0.222782,<=50K
-0.4097,<=50K
0.0779,<=50K
0.754969,>50K
0.200282,<=50K
0.299823,>50K
0.090007,<=50K
0.199322,<=50K
-0.367783,<=50K
-0.393249,<=50K
0.061184,<=50K
-0.248445,<=50K
0.068403,>50K
0.111015,<=50K
-0.124647,<=50K
0.165742,<=50K
-0.382399,<=50K
-0.293753,<=50K
-0.322718,<=50K
-0.191673,<=50K
-0.026544,<=50K
-0.289867,<=50K
0.188546,>50K
-0.336045,<=50K
0.086143,<=50K
0.128803,>50K
-0.200201,<=50K
-0.068656,<=50K
-0.124656,<=50K
0.075661,<=50K
0.554682,<=50K
0.159728,>50K
-0.266785,<=50K
0.04056,<=50K
0.220824,<=50K
0.502462,>50K
0.299821,>50K
-0.29427,<=50K
-0.353211,<=50K
0.047289,<=50K
0.334773,<=50K
0.421563,>50K
-0.310391,<=50K
0.154358,>50K
-0.530286,<=50K
0.713719,>50K
-0.342709,<=50K
0.646725,>50K
0.910355,>50K
0.148156,>50K
0.066841,>50K
-0.011446,<=50K
-0.366032,<=50K
0.178742,>50K
-0.050307,<=50K
-0.050313,<=50K
0.094043,<=50K
-0.496298,<=50K
0.30872,>50K
-0.502393,<=50K
-0.499027,<=50K
-0.178479,>50K
-0.315996,<=50K
0.092067,>50K
-0.267238,<=50K
-0.493932,<=50K
0.466081,>50K
-0.588702,<=50K
0.172444,>50K
0.380758,<=50K
0.157302,<=50K
-0.270202,<=50K
-0.345706,<=50K
-0.252363,<=50K
0.401058,>50K
0.210901,>50K
-0.120398,<=50K
0.28555,>50K
-0.338555,<=50K
-0.260824,<=50K
0.183096,<=50K
-0.644139,<=50K
0.098005,<=50K
-0.426642,<=50K
0.188431,<=50K
0.295866,>50K
-0.566998,<=50K
-0.323596,<=50K
0.036127,<=50K
-0.246265,<=50K
0.290797,<=50K
-0.346012,<=50K
0.111397,<=50K
-0.282629,<=50K
-0.333807,<=50K
-0.347865,<=50K
-0.231453,<=50K
-0.122987,<=50K
-0.060431,<=50K
-0.25993,>50K
0.071,<=50K
0.287445,<=50K
-0.369811,<=50K
0.292038,<=50K
-0.537017,<=50K
-0.022223,<=50K
-0.374471,<=50K
0.128802,>50K
-0.128294,<=50K
-0.222069,<=50K
0.185421,<=50K
-0.298054,<=50K
-0.363823,<=50K
0.169163,<=50K
0.332135,<=50K
0.153526,<=50K
0.325247,>50K
-0.427655,<=50K
-0.103965,<=50K
-0.309931,<=50K
-0.465088,<=50K
-0.525633,<=50K
-0.278485,<=50K
-0.451057,<=50K
0.063751,<=50K
0.187542,<=50K
0.424923,<=50K
0.68059,>50K
0.489717,<=50K
0.131073,>50K
-0.352739,<=50K
0.64825,<=50K
0.120469,<=50K
0.565572,>50K
0.580394,>50K
-0.334004,<=50K
0.29578,>50K
-0.149882,<=50K
-0.155339,<=50K
0.047586,<=50K
-0.470757,<=50K
-0.259754,<=50K
0.745514,>50K
0.107088,>50K
