@relation adult-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.RandomProjection-N10-R42-DGaussian

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute K7 numeric
@attribute K8 numeric
@attribute K9 numeric
@attribute K10 numeric
@attribute class {' <=50K',' >50K'}

@data
-3.148602,0.269415,-4.035525,3.173091,-3.368466,3.159673,-1.478616,-1.61026,-0.166399,-1.648407,' <=50K'
-1.187801,1.271626,0.350711,1.406315,-0.981271,3.900748,-3.460239,0.981433,-2.105619,-4.794549,' >50K'
1.183757,0.64223,1.805292,0.705508,-0.033792,5.16697,-2.308779,0.10694,-2.826703,-0.097056,' >50K'
-1.319867,-0.710335,-0.519628,0.719407,-1.312515,1.156779,-2.793949,-1.391885,1.277884,-6.357703,' >50K'
0.820044,3.15773,-0.474608,1.867672,0.116019,-3.385529,-0.981235,-3.216305,1.60302,-1.68196,' <=50K'
-1.477446,4.244976,-0.450783,3.109975,1.954251,1.467032,-1.504762,1.43146,-4.623117,0.0174,' <=50K'
-0.776243,2.145362,0.603704,2.164591,-1.267821,4.81419,-2.055045,-0.338556,-0.536089,-1.92402,' <=50K'
-0.313378,8.51098,-0.066061,4.053944,1.286008,4.423047,-2.991571,-0.322018,-1.66977,2.154211,' <=50K'
-0.576861,1.387617,0.811384,0.62119,-1.850125,-0.24028,0.273633,1.460261,0.802,-3.911036,' <=50K'
2.462834,5.528381,-0.849964,3.279664,0.477076,-3.70229,-0.495997,0.876988,-1.182994,-1.433094,' <=50K'
0.603623,5.982235,-1.434197,5.931667,0.988853,-0.903955,1.111332,-0.553358,-2.401549,2.060104,' <=50K'
-2.163756,1.085087,0.452476,1.594646,-1.653024,1.481159,-4.21557,0.927788,2.184215,-6.437297,' >50K'
2.80237,3.443094,-0.733173,0.897744,2.283551,-1.126277,-2.483991,-5.136236,-0.151137,-1.41713,' <=50K'
-1.089402,-2.451932,0.037358,2.342188,-0.5911,3.247992,-0.228514,0.77273,2.63015,-3.127212,' <=50K'
-1.583367,-0.732894,-1.390121,1.209048,0.280879,0.948148,-2.097755,0.105936,-0.220817,-3.829092,' <=50K'
2.163738,-0.14178,-1.93682,1.388067,0.688014,2.962775,-2.528715,-1.537156,0.087177,-4.325398,' <=50K'
-0.41187,5.347223,-1.800394,3.401922,0.418991,-1.750058,2.861456,-2.265889,-0.720688,-1.006744,' <=50K'
-0.569763,5.358545,1.589847,2.60797,-3.088413,2.409257,-0.855432,0.709122,-0.992165,-2.958997,' >50K'
-0.43331,1.469884,1.745831,0.545502,-0.562033,4.155299,-1.358111,-1.163265,-4.343624,-4.706676,' <=50K'
-2.786341,5.795412,-1.998581,0.500579,-0.270723,2.208816,-2.776511,0.568078,-1.803143,1.553862,' <=50K'
