@relation adult-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.RandomProjection-N4-R42-DGaussian

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute class {' <=50K',' >50K'}

@data
-3.148602,0.269415,-4.035525,3.173091,' <=50K'
-1.187801,1.271626,0.350711,1.406315,' >50K'
1.183757,0.64223,1.805292,0.705508,' >50K'
-1.319867,-0.710335,-0.519628,0.719407,' >50K'
0.820044,3.15773,-0.474608,1.867672,' <=50K'
-1.477446,4.244976,-0.450783,3.109975,' <=50K'
-0.776243,2.145362,0.603704,2.164591,' <=50K'
-0.313378,8.51098,-0.066061,4.053944,' <=50K'
-0.576861,1.387617,0.811384,0.62119,' <=50K'
2.462834,5.528381,-0.849964,3.279664,' <=50K'
0.603623,5.982235,-1.434197,5.931667,' <=50K'
-2.163756,1.085087,0.452476,1.594646,' >50K'
2.80237,3.443094,-0.733173,0.897744,' <=50K'
-1.089402,-2.451932,0.037358,2.342188,' <=50K'
-1.583367,-0.732894,-1.390121,1.209048,' <=50K'
2.163738,-0.14178,-1.93682,1.388067,' <=50K'
-0.41187,5.347223,-1.800394,3.401922,' <=50K'
-0.569763,5.358545,1.589847,2.60797,' >50K'
-0.43331,1.469884,1.745831,0.545502,' <=50K'
-2.786341,5.795412,-1.998581,0.500579,' <=50K'
2.030125,4.179245,0.516003,1.693246,' <=50K'
3.363904,3.138026,0.699673,-1.876456,' <=50K'
-0.88252,4.154595,1.953609,-0.873077,' <=50K'
-3.575499,7.534608,0.854536,2.424033,' <=50K'
-2.320011,4.613402,-0.376759,1.492066,' <=50K'
-2.20314,-0.224728,0.42489,2.441969,' <=50K'
-0.787435,2.199526,0.537678,2.535238,' <=50K'
-4.15378,0.037175,-1.691163,2.172944,' <=50K'
-1.967839,2.479082,-0.423785,1.344797,' <=50K'
-3.561325,7.781008,0.602307,2.27056,' <=50K'
-1.313284,5.734584,0.505036,1.654555,' <=50K'
4.723822,3.951661,-2.291524,5.370613,' <=50K'
1.055009,5.657604,-1.632573,4.830732,' <=50K'
-1.9899,4.281779,2.539829,4.233384,' <=50K'
-1.744044,5.745541,-1.291071,2.386044,' <=50K'
0.753127,5.514794,0.033306,0.919867,' <=50K'
-1.738603,-1.154528,-1.060566,0.619359,' >50K'
1.06664,-0.731195,-2.393023,1.466838,' >50K'
0.632334,3.249731,-0.575053,2.178671,' <=50K'
3.895229,4.558035,-2.616685,-1.844508,' <=50K'
-1.856164,-0.496164,-0.746567,1.25584,' <=50K'
-3.84299,5.597417,-2.034347,3.12565,' <=50K'
1.063373,3.582727,-1.170968,2.194581,' <=50K'
1.098714,-0.751518,-0.4955,2.050767,' <=50K'
-3.230553,5.761065,0.528905,0.165642,' <=50K'
-1.823423,0.596366,-0.083445,1.944665,' >50K'
4.623411,4.591595,3.612162,3.42426,' <=50K'
0.044196,-0.375413,-2.214891,3.241459,' <=50K'
-2.668272,-0.698857,-0.826462,1.826847,' >50K'
1.21226,6.497783,-1.331801,1.826611,' <=50K'
-0.018859,8.282865,-0.153949,1.265129,' <=50K'
-1.20592,3.272472,0.768585,0.991979,' <=50K'
0.565031,6.298545,0.164596,-0.151751,' <=50K'
-2.517476,0.697855,-0.664094,1.839389,' <=50K'
1.485611,2.673638,-1.138971,3.959948,' <=50K'
-1.524073,3.109946,-1.482964,3.219513,' <=50K'
-6.730847,-0.195601,0.259768,0.136593,' <=50K'
-0.029676,5.875193,-0.662748,1.133141,' <=50K'
1.62257,1.059498,0.71944,2.935546,' >50K'
4.288379,-0.365376,0.576945,1.134288,' <=50K'
-3.464927,-2.286104,-1.537034,-0.157304,' <=50K'
-1.235366,3.204126,0.295345,1.364422,' <=50K'
0.98443,3.989317,-1.049762,0.772339,' <=50K'
0.035077,-1.101352,-1.731058,1.574854,' <=50K'
-2.765068,-1.641234,0.251416,2.525356,' >50K'
0.101089,6.01655,0.423054,2.401749,' <=50K'
-1.516017,0.774556,0.729882,-0.825019,' >50K'
-0.621152,3.569065,0.206902,1.034876,' <=50K'
-1.97242,-0.437836,-1.038693,3.07064,' <=50K'
-1.260067,5.778318,1.252602,3.482424,' <=50K'
-1.225049,5.871002,0.642695,2.908227,' <=50K'
0.941163,-0.011637,-0.189457,0.718216,' <=50K'
0.458912,6.02459,3.234679,-1.78777,' <=50K'
1.833389,0.212151,-0.682675,0.815084,' >50K'
-5.293522,1.581416,1.123722,0.908904,' <=50K'
1.412788,5.822383,-0.002142,-2.383834,' <=50K'
-4.719291,0.283443,-0.273224,-0.563206,' <=50K'
2.003747,4.446302,0.563602,3.24428,' <=50K'
0.140755,8.532845,-0.768159,4.644347,' <=50K'
0.929443,1.446745,1.223121,-2.053111,' <=50K'
1.852114,4.63675,2.726067,2.422341,' <=50K'
2.755337,6.412488,2.315293,0.375382,' <=50K'
3.84871,5.387225,-1.619768,3.054898,' <=50K'
-0.609861,6.244868,-1.307622,3.512818,' >50K'
-0.777668,6.030929,-0.05293,1.602836,' <=50K'
-1.272941,3.256641,0.792758,0.750914,' <=50K'
-2.044733,0.75312,-0.380758,0.388145,' >50K'
-0.799535,4.621276,0.700733,-1.912626,' <=50K'
2.876073,4.205762,1.310648,1.896379,' <=50K'
-0.790434,1.293396,-2.694568,0.288147,' <=50K'
1.563995,5.862178,-0.613163,4.957019,' <=50K'
-2.505792,-1.366438,-1.06032,3.315839,' <=50K'
-0.764177,2.582011,0.058476,1.246015,' >50K'
-1.033132,4.49618,1.804154,1.898207,' <=50K'
3.3988,5.103482,0.273627,2.30747,' <=50K'
0.933894,-3.743299,-0.529861,1.601789,' <=50K'
-1.174234,-0.691976,0.103848,-0.26141,' >50K'
-1.196595,2.401182,-0.26295,2.202189,' >50K'
1.810294,0.678333,-3.275324,-0.401397,' <=50K'
-0.801196,7.592524,-1.055496,1.465393,' <=50K'
2.496306,6.700733,-1.326509,5.935309,' <=50K'
-3.916917,-0.054577,-1.594435,1.956561,' <=50K'
-3.616429,2.045859,-1.617636,4.348649,' >50K'
-0.513023,5.623983,-0.976728,1.795682,' <=50K'
-0.795462,2.597345,0.041735,1.297848,' >50K'
1.885017,6.293492,-0.423676,2.479729,' <=50K'
-3.089595,0.590693,-0.953379,2.860532,' >50K'
0.031324,4.535036,-0.162776,-0.322276,' <=50K'
-3.291642,0.015406,-2.275613,2.29962,' >50K'
-3.968893,-1.335509,-0.330037,2.780093,' >50K'
-0.570472,3.070273,-0.712467,1.936826,' >50K'
2.322858,2.583178,0.712641,-0.945539,' >50K'
2.537843,5.223302,3.448262,2.430354,' <=50K'
-3.232797,8.694986,1.743087,0.252789,' <=50K'
-4.538238,0.688094,1.536984,-0.78792,' >50K'
-1.24553,-3.138825,1.99841,-0.900329,' <=50K'
-1.80248,5.378118,0.306164,2.634362,' <=50K'
-1.728832,-1.85894,-1.666456,2.184173,' <=50K'
-0.587975,4.463906,0.328609,2.71616,' <=50K'
-0.398274,4.968735,2.105365,1.582625,' >50K'
2.381226,6.719702,-0.440309,1.562411,' <=50K'
0.922112,2.972835,-3.568213,0.992323,' <=50K'
0.853755,5.216304,-2.446092,0.412875,' >50K'
3.454801,6.719539,-0.384684,0.192175,' <=50K'
-2.35405,-0.360186,-0.345794,0.565265,' >50K'
2.033747,5.275261,-1.228917,3.913366,' <=50K'
1.918969,5.888506,-0.519609,0.116174,' <=50K'
-0.746859,1.100929,0.691596,1.698802,' >50K'
2.974796,9.335169,-0.840957,-0.043761,' <=50K'
0.745678,-0.675845,-0.564339,1.931469,' >50K'
-0.746616,0.646273,-1.18966,1.374541,' <=50K'
-2.080392,7.37567,-0.751023,4.057471,' <=50K'
-3.71324,1.375418,2.345513,2.855558,' <=50K'
1.773878,7.969544,0.606991,-0.527997,' <=50K'
2.245804,5.95577,1.308586,4.308134,' <=50K'
-3.925723,-1.496471,4.285721,2.780972,' >50K'
-0.326581,3.043756,-2.529566,2.834428,' >50K'
0.539723,4.682258,-2.306516,-0.401986,' <=50K'
5.833502,4.634231,1.013682,1.265645,' >50K'
1.818769,3.818246,1.55751,6.200227,' <=50K'
-2.441272,7.395876,3.262907,-1.115688,' <=50K'
-1.129539,0.496566,-1.814178,1.468086,' <=50K'
-3.610447,6.78235,2.440004,2.022331,' <=50K'
-1.591864,0.178904,-1.235004,1.504008,' <=50K'
-0.238091,6.092171,0.146135,3.165037,' <=50K'
-0.335834,2.955272,-0.586911,1.548077,' <=50K'
-2.052775,-0.497158,-0.731702,0.877376,' >50K'
-2.03372,2.43122,-0.552047,-2.679911,' <=50K'
-1.732786,4.848694,1.553215,1.402555,' <=50K'
-0.254666,1.711319,-0.506641,2.822348,' <=50K'
1.158512,5.023674,-0.702592,3.647506,' <=50K'
-0.097986,-2.403742,1.095186,0.626553,' <=50K'
2.484133,4.71959,-0.025207,3.352646,' <=50K'
-1.045743,2.720013,-0.092192,1.712513,' <=50K'
0.691539,5.264549,-1.333997,1.137373,' <=50K'
-0.780377,4.243987,-4.265067,0.888171,' <=50K'
2.212215,4.269662,0.703884,2.791419,' <=50K'
-2.881616,7.451609,2.58113,3.22308,' <=50K'
1.736107,5.921254,-2.526156,3.526896,' <=50K'
0.465829,7.629966,1.418988,2.997755,' <=50K'
-0.742361,4.511049,2.359779,1.450518,' >50K'
3.102665,5.873795,1.086518,2.016018,' <=50K'
3.589391,4.56955,0.670734,1.379481,' <=50K'
0.179176,7.689243,0.916147,1.189623,' <=50K'
-0.894263,0.244654,-4.062056,3.013869,' <=50K'
0.189694,4.230543,-0.941468,-2.716157,' <=50K'
0.557932,8.342922,0.278689,3.247446,' <=50K'
0.785141,4.132471,-0.407295,2.842507,' <=50K'
-0.589769,6.283699,-1.356907,3.831633,' >50K'
1.112727,5.633634,-3.134082,0.713868,' <=50K'
0.347284,4.717233,-2.039631,3.234841,' <=50K'
1.426992,1.915374,0.885062,2.370207,' <=50K'
0.140067,3.873761,-0.992367,4.106683,' <=50K'
2.055293,3.636588,-0.230172,0.863084,' <=50K'
-0.799489,-0.299429,-1.217828,1.467563,' <=50K'
-0.22012,-0.501672,0.59572,5.052572,' <=50K'
-0.539187,3.05494,-0.695726,1.884993,' <=50K'
-2.686949,-0.167337,-0.183448,0.973423,' >50K'
3.138021,7.506907,-0.550413,2.948011,' <=50K'
2.297579,5.097449,2.776343,2.583956,' <=50K'
2.168476,6.442227,1.558638,3.281917,' <=50K'
-1.997824,6.564269,1.836742,-0.455399,' <=50K'
-0.739043,5.074487,2.273329,5.039739,' <=50K'
0.970802,5.115675,-0.803037,3.958505,' <=50K'
-2.883806,3.983124,-0.562347,3.950495,' <=50K'
-3.09062,-0.491855,-1.052463,2.526595,' <=50K'
-1.140635,0.244369,-0.333816,0.342649,' <=50K'
-2.871709,-1.214695,0.48317,1.087109,' <=50K'
-1.037336,2.912018,1.117345,2.037289,' >50K'
-0.610917,2.16169,0.572098,2.594887,' <=50K'
-1.322171,0.605583,-1.935268,1.892871,' >50K'
0.377319,5.201688,-2.315278,2.783795,' <=50K'
-1.977469,-0.262316,0.455593,2.596233,' <=50K'
-2.207963,-0.851446,-0.670202,1.592363,' <=50K'
-0.537154,2.076858,0.671605,2.120573,' >50K'
2.869464,1.868953,-0.85504,2.165032,' >50K'
0.950239,4.491918,-1.82258,1.136519,' <=50K'
-0.498295,3.512644,-0.137061,1.225676,' >50K'
3.077345,4.811736,0.826032,0.499763,' <=50K'
-2.536996,5.432602,-1.587353,1.628474,' <=50K'
0.754578,-0.582849,-0.679649,2.620932,' <=50K'
5.164702,4.117951,-2.964542,5.223356,' <=50K'
0.121774,3.597494,-0.237085,3.726169,' <=50K'
0.255501,1.597055,1.692124,1.206781,' >50K'
0.730052,0.364627,-0.470789,1.80713,' >50K'
2.180936,1.614001,1.204451,1.614018,' <=50K'
-0.819289,0.077134,-0.149854,-0.260179,' <=50K'
-1.188077,5.262935,1.047066,0.135183,' >50K'
-0.321659,3.02674,-2.508922,2.720642,' >50K'
-1.178686,6.300233,-4.243461,2.606586,' <=50K'
-0.579632,2.146357,0.588838,2.543054,' >50K'
-3.75691,0.734204,0.083372,-0.475876,' >50K'
-1.964464,6.447492,-2.493218,3.202845,' <=50K'
0.134493,0.286371,-0.501038,1.350499,' <=50K'
1.160439,4.265281,-4.701367,1.909167,' <=50K'
2.417828,6.59014,-0.548169,3.593804,' <=50K'
-2.246227,4.237673,-0.62504,4.930309,' <=50K'
0.302953,2.324484,-0.702062,0.486026,' <=50K'
1.043009,5.658068,-3.15938,0.758955,' <=50K'
3.719848,7.707645,-1.519969,6.009609,' >50K'
1.451441,7.299946,-1.113332,2.505759,' <=50K'
-0.3403,-2.309946,-0.114649,3.391811,' <=50K'
-3.507986,-0.230664,-1.405631,1.455095,' >50K'
-2.741349,-3.540122,-0.174906,1.987939,' >50K'
-2.840878,1.779262,-0.25912,2.772789,' >50K'
-1.768382,0.21674,-1.269424,1.44436,' <=50K'
2.585556,-3.596424,-1.566523,2.628757,' >50K'
-3.510677,-0.432013,-1.097129,2.166232,' <=50K'
4.830434,7.156528,1.355195,1.419317,' >50K'
0.031351,1.619815,-0.413628,2.70058,' <=50K'
-0.393549,5.156141,0.342277,-0.066088,' >50K'
-0.813371,3.64273,-0.275642,1.571642,' >50K'
-1.7554,0.468325,0.005111,2.144836,' <=50K'
-0.443299,2.030858,0.721827,1.965074,' <=50K'
-1.815147,7.317907,-2.831674,1.336533,' <=50K'
3.106429,5.57092,-1.794832,2.981921,' <=50K'
-0.572698,3.047024,-0.68364,1.76446,' >50K'
-0.786233,-0.192578,-1.163702,0.989121,' >50K'
0.808248,-0.706512,-0.530857,1.827803,' <=50K'
4.201487,-1.012799,-0.803249,1.732564,' <=50K'
1.829527,5.485081,-2.913932,0.910619,' <=50K'
-1.305254,0.982251,0.646448,2.291105,' >50K'
-2.636649,2.162551,-1.51803,2.206434,' >50K'
-1.85148,0.491077,-0.016284,2.12797,' <=50K'
-0.191731,7.529677,2.010178,3.653138,' <=50K'
1.742162,6.147279,-3.043864,1.555199,' <=50K'
-2.205254,0.382709,-0.876784,0.730971,' <=50K'
-1.51831,-0.063154,-1.417567,3.118417,' >50K'
1.885603,5.373707,-0.987009,1.842422,' <=50K'
2.849781,7.892666,1.048295,4.425735,' <=50K'
-3.42531,4.938692,-0.21837,-1.15561,' <=50K'
-2.707187,-2.235189,-1.208529,-1.78107,' <=50K'
0.705576,5.23878,-1.885438,1.981389,' <=50K'
0.333575,7.199667,-2.165106,5.352936,' <=50K'
2.146405,8.065161,-0.729596,1.732271,' <=50K'
-0.423516,4.937977,1.6558,1.933996,' <=50K'
