@relation iris_LDA-out

@attribute A numeric
@attribute B numeric
@attribute Class numeric

@data
1.908299,-0.004557,0
1.950774,-0.166487,0
-1.457837,-0.543812,1
1.566644,-0.125808,0
-0.271148,0.440111,2
-1.365895,0.0575,1
1.695729,0.130707,0
2.022152,-0.089784,0
-0.877749,0.45718,2
-1.419145,-0.454135,1
1.710894,-0.132535,0
-0.364595,-0.011444,2
-1.29987,0.099912,1
-1.401523,0.093588,1
-0.292409,0.144296,2
1.64643,0.269903,0
2.150374,-0.506913,0
-1.703763,-0.394833,1
1.648724,0.098954,0
-0.604476,0.022508,2
-1.670402,-0.488024,1
-0.638638,0.126515,2
-0.313713,0.145633,2
-1.576961,-0.126321,1
2.025918,-0.27229,0
-1.124427,0.240346,2
1.739792,0.185574,0
2.296122,-0.75325,0
1.994815,0.036956,0
-0.190655,0.448075,2
-1.716638,-0.223064,1
-1.718995,-0.736574,1
1.803555,0.091407,0
-1.419841,-0.225341,1
-1.583713,0.376452,1
-1.171532,-0.088862,1
2.003929,-0.031783,0
-0.489044,0.313031,2
-1.636223,-0.66113,1
-2.298112,0.204769,1
-1.14493,0.230868,1
-0.731962,-0.006833,2
1.714749,0.141366,0
-1.559456,0.193047,1
-1.021253,-0.141516,1
-0.288597,0.715349,2
-1.305181,-0.40086,1
-0.500421,0.24519,2
1.606851,-0.344842,0
-0.249955,0.130942,2
1.924233,0.028914,0
-0.449623,-0.133615,2
1.838486,0.284113,0
1.787599,0.206512,0
1.902176,-0.335562,0
-0.615083,0.25138,2
-0.959708,0.381297,2
-0.072255,0.487431,2
-0.275705,0.47448,2
2.468457,-0.441428,0
1.843043,0.249744,0
-0.354695,0.14743,2
-1.697723,-0.430383,1
-0.987096,-0.166046,1
-0.597544,0.432549,2
-1.379544,0.012033,1
-1.897251,0.266221,1
-0.621138,0.525359,2
1.878694,0.06508,0
1.417904,0.520272,0
-0.561115,0.385646,2
-0.881577,-0.044773,2
-0.612075,-0.217463,2
-0.536161,-0.026553,2
0.118231,0.215744,2
-0.386568,0.159964,2
1.812669,0.022668,0
1.722297,-0.292747,0
-0.360043,0.033663,2
-0.465562,-0.08761,2
-1.113914,-0.365458,1
-1.319554,0.010519,1
1.880966,0.042707,0
-1.652865,-0.476184,1
2.158765,-0.118806,0
-1.023543,-0.050043,1
-0.149678,0.525755,2
-1.096414,0.033387,1
-0.297694,0.714988,2
1.984931,-0.191018,0
-1.305988,-0.310568,1
-0.64773,0.046677,2
2.375117,-0.505676,0
2.29166,-0.34195,0
-0.665157,0.17334,2
-1.379544,0.012033,1
-0.436676,0.220123,2
-1.343894,-0.172631,1
1.843043,0.249744,0
-1.273134,0.578897,1
-0.224116,0.243811,2
2.028999,-0.215626,0
-1.494194,0.028599,1
-0.60516,0.261678,2
2.012269,-0.317758,0
-1.267179,0.007463,1
-1.170745,0.138751,1
-1.579151,0.262606,1
-1.433486,-0.350285,1
-1.964908,-0.577219,1
-0.566473,0.430831,2
-1.476039,-0.634386,1
-0.525537,-0.324525,2
-0.571795,0.089011,2
2.085915,-0.183952,0
-0.952861,0.255454,1
2.177005,-0.245908,0
-1.248955,-0.050538,1
1.809605,-0.103096,0
-0.32963,0.043062,2
1.843043,0.249744,0
-0.300838,-0.026136,2
2.106406,-0.18485,0
1.698793,0.256471,0
-0.489819,0.095794,2
1.899976,0.212318,0
-1.857044,0.047188,1
1.847506,-0.161557,0
-1.705261,-0.155223,1
-1.573975,-0.446588,1
1.92879,-0.005456,0
-1.245991,-0.222229,1
-1.706069,-0.23426,1
-0.317479,0.32814,2
-0.402502,0.126492,2
0.078029,0.355301,2
1.696526,0.199367,0
1.817221,0.067774,0
1.710192,0.175735,0
-1.191972,0.58612,1
-1.2848,-0.54026,1
-1.633882,-0.07852,1
1.931781,-0.405199,0
2.040376,-0.147786,0
-0.69098,-0.00863,2
-0.054031,0.429429,2
-0.095103,-0.025181,2
-0.930158,-0.282948,2
1.987995,-0.065254,0
-1.719,-0.657098,1
