@relation iris_LDA_out_NominalClass

@attribute A numeric
@attribute B numeric
@attribute class {Iris-setosa,Iris-virginica,Iris-versicolor}

@data
1.908299,-0.004557,Iris-setosa
1.950774,-0.166487,Iris-setosa
-1.457837,-0.543812,Iris-virginica
1.566644,-0.125808,Iris-setosa
-0.271148,0.440111,Iris-versicolor
-1.365895,0.0575,Iris-virginica
1.695729,0.130707,Iris-setosa
2.022152,-0.089784,Iris-setosa
-0.877749,0.45718,Iris-versicolor
-1.419145,-0.454135,Iris-virginica
1.710894,-0.132535,Iris-setosa
-0.364595,-0.011444,Iris-versicolor
-1.29987,0.099912,Iris-virginica
-1.401523,0.093588,Iris-virginica
-0.292409,0.144296,Iris-versicolor
1.64643,0.269903,Iris-setosa
2.150374,-0.506913,Iris-setosa
-1.703763,-0.394833,Iris-virginica
1.648724,0.098954,Iris-setosa
-0.604476,0.022508,Iris-versicolor
-1.670402,-0.488024,Iris-virginica
-0.638638,0.126515,Iris-versicolor
-0.313713,0.145633,Iris-versicolor
-1.576961,-0.126321,Iris-virginica
2.025918,-0.27229,Iris-setosa
-1.124427,0.240346,Iris-versicolor
1.739792,0.185574,Iris-setosa
2.296122,-0.75325,Iris-setosa
1.994815,0.036956,Iris-setosa
-0.190655,0.448075,Iris-versicolor
-1.716638,-0.223064,Iris-virginica
-1.718995,-0.736574,Iris-virginica
1.803555,0.091407,Iris-setosa
-1.419841,-0.225341,Iris-virginica
-1.583713,0.376452,Iris-virginica
-1.171532,-0.088862,Iris-virginica
2.003929,-0.031783,Iris-setosa
-0.489044,0.313031,Iris-versicolor
-1.636223,-0.66113,Iris-virginica
-2.298112,0.204769,Iris-virginica
-1.14493,0.230868,Iris-virginica
-0.731962,-0.006833,Iris-versicolor
1.714749,0.141366,Iris-setosa
-1.559456,0.193047,Iris-virginica
-1.021253,-0.141516,Iris-virginica
-0.288597,0.715349,Iris-versicolor
-1.305181,-0.40086,Iris-virginica
-0.500421,0.24519,Iris-versicolor
1.606851,-0.344842,Iris-setosa
-0.249955,0.130942,Iris-versicolor
1.924233,0.028914,Iris-setosa
-0.449623,-0.133615,Iris-versicolor
1.838486,0.284113,Iris-setosa
1.787599,0.206512,Iris-setosa
1.902176,-0.335562,Iris-setosa
-0.615083,0.25138,Iris-versicolor
-0.959708,0.381297,Iris-versicolor
-0.072255,0.487431,Iris-versicolor
-0.275705,0.47448,Iris-versicolor
2.468457,-0.441428,Iris-setosa
1.843043,0.249744,Iris-setosa
-0.354695,0.14743,Iris-versicolor
