@relation iris_ICA-out

@attribute A numeric
@attribute B numeric
@attribute class numeric

@data
-1.330718,-0.228307,0
-1.324858,0.537581,0
1.120919,1.675063,1
-1.07138,1.032698,0
0.089173,-0.306293,2
0.939701,0.429806,1
-1.221063,0.992971,0
-1.388252,0.019974,0
0.51878,1.258469,2
1.08584,2.664967,1
-1.171348,0.516852,0
0.292003,-0.503508,2
0.881375,1.506779,1
0.955592,-1.411294,1
0.167478,-1.360762,2
-1.228068,0.147357,0
-1.383371,1.054886,0
1.274497,0.427774,1
-1.179429,-1.635047,0
0.445513,-0.524237,2
1.265093,1.85732,1
0.433097,0.347989,2
0.20457,-0.105354,2
1.145214,0.09241,1
-1.333401,-0.088125,0
0.726272,-1.035945,2
-1.275122,0.272378,0
-1.422,0.019386,0
-1.399524,0.971926,0
0.041043,-1.487558,2
1.238902,0.16051,1
1.366647,0.715782,1
-1.292441,-0.101225,0
1.046322,0.882849,1
1.036724,-0.838226,1
0.820125,-0.619094,1
-1.38426,0.308268,0
0.259022,0.315605,2
1.263598,0.869176,1
1.592836,-0.373227,1
0.785183,-2.082309,1
0.486846,-1.047887,2
-1.237755,-0.558074,0
1.081096,-0.823064,1
0.734001,0.207536,1
0.059857,-0.125811,2
1.045127,-2.209663,1
0.284765,-0.471313,2
-1.059032,1.387031,0
0.152731,0.560064,2
-1.34883,0.226782,0
0.353108,-0.145353,2
-1.347851,-0.042243,0
-1.294937,0.598624,0
-1.257824,0.435064,0
0.40343,-0.379946,2
0.595217,-0.273593,2
-0.077898,0.506936,2
0.081541,0.025535,2
-1.59913,0.637734,0
-1.340219,-0.374072,0
0.225529,-0.351875,2
1.239909,2.693355,1
0.711898,0.37433,1
0.311488,-1.527255,2
0.937412,0.270355,1
1.308547,-1.676006,1
0.334459,0.471536,2
-1.335503,0.31209,0
-1.120909,2.068484,0
0.317416,-1.987927,2
0.640313,0.139436,2
0.477676,-0.49615,2
0.401307,-0.190648,2
-0.151674,1.687899,2
0.227232,-0.223032,2
-1.277177,-0.764882,0
-1.141965,-0.89019,0
0.265116,0.203684,2
0.3367,0.438579,2
0.855093,0.825612,1
0.948193,-1.957273,1
-1.307471,-0.315376,0
1.290622,-2.291134,1
-1.462752,0.80307,0
0.719881,0.950919,1
-0.014436,-0.202016,2
0.756456,0.949159,1
0.030682,0.421929,2
-1.346961,0.704375,0
0.988788,1.13113,1
0.43844,-0.143291,2
-1.531469,-0.642225,0
-1.51637,-1.654633,0
0.429732,-1.117747,2
0.937412,0.270355,1
0.281359,-0.728998,2
0.942128,0.956517,1
-1.340219,-0.374072,0
0.76639,-3.233139,1
0.102665,0.127766,2
-1.3665,-1.055239,0
1.007645,1.284825,1
0.357563,-1.383251,2
-1.335689,-0.247577,0
0.887579,-1.039752,1
0.738387,0.196197,1
1.078876,-2.209075,1
1.078553,-0.315624,1
1.471793,0.391598,1
0.287965,0.645674,2
1.145518,0.808419,1
0.429478,-0.450855,2
0.382678,-0.992727,2
-1.405571,-0.353629,0
0.616969,-1.348805,1
-1.480656,0.398858,0
0.883587,-1.328047,1
-1.257989,0.086314,0
0.208769,-0.67636,2
-1.340219,-0.374072,0
0.240165,0.16191,2
-1.41605,-0.230369,0
-1.240251,0.141775,0
0.292329,0.423418,2
-1.393201,0.211621,0
1.320895,-1.321673,1
-1.245849,1.299947,0
1.213158,0.947428,1
1.198852,1.131144,1
-1.341198,-0.105047,0
0.916618,0.865626,1
1.274289,1.287075,1
0.149719,0.002745,2
0.245343,-0.678121,2
-0.129502,0.294545,2
-1.233763,-0.26978,0
-1.304064,-0.05769,0
-1.245387,-0.226245,0
0.702652,-0.438326,1
1.017827,3.036508,1
1.149765,0.429821,1
-1.25304,-0.105333,0
-1.392244,-0.268321,0
0.465887,-0.801366,2
-0.081889,0.218642,2
0.060327,0.938948,2
0.693435,-0.078998,2
-1.366149,-0.146821,0
1.332127,1.754803,1
