@relation adult-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R13-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute Age numeric
@attribute Workclass {' State-gov',' Self-emp-not-inc',' Private',' Federal-gov',' Local-gov',' ?',' Self-emp-inc',' Without-pay',' Never-worked'}
@attribute education {' Bachelors',' HS-grad',' 11th',' Masters',' 9th',' Some-college',' Assoc-acdm',' Assoc-voc',' 7th-8th',' Doctorate',' Prof-school',' 5th-6th',' 10th',' 1st-4th',' Preschool',' 12th'}
@attribute marital-status {' Never-married',' Married-civ-spouse',' Divorced',' Married-spouse-absent',' Separated',' Married-AF-spouse',' Widowed'}
@attribute occupation {' Adm-clerical',' Exec-managerial',' Handlers-cleaners',' Prof-specialty',' Other-service',' Sales',' Craft-repair',' Transport-moving',' Farming-fishing',' Machine-op-inspct',' Tech-support',' ?',' Protective-serv',' Armed-Forces',' Priv-house-serv'}
@attribute relationship {' Not-in-family',' Husband',' Wife',' Own-child',' Unmarried',' Other-relative'}
@attribute race {' White',' Black',' Asian-Pac-Islander',' Amer-Indian-Eskimo',' Other'}
@attribute sex {' Male',' Female'}
@attribute capital-gain numeric
@attribute capital-loss numeric
@attribute hours-per-week numeric
@attribute native-country {' United-States',' Cuba',' Jamaica',' India',' ?',' Mexico',' South',' Puerto-Rico',' Honduras',' England',' Canada',' Germany',' Iran',' Philippines',' Italy',' Poland',' Columbia',' Cambodia',' Thailand',' Ecuador',' Laos',' Taiwan',' Haiti',' Portugal',' Dominican-Republic',' El-Salvador',' France',' Guatemala',' China',' Japan',' Yugoslavia',' Peru',' Outlying-US(Guam-USVI-etc)',' Scotland',' Trinadad&Tobago',' Greece',' Nicaragua',' Vietnam',' Hong',' Ireland',' Hungary',' Holand-Netherlands'}

@data
0.260274,' Private',' Assoc-voc',' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male',0,0,0.397959,' United-States'
0.287671,' Self-emp-not-inc',' Some-college',' Married-civ-spouse',' Machine-op-inspct',' Husband',' White',' Male',0,0,0.44898,' United-States'
0.493151,' Federal-gov',' Bachelors',' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',0,0,0.397959,' United-States'
0.369863,' Private',' HS-grad',' Married-civ-spouse',' Sales',' Husband',' White',' Male',0,0,0.346939,' United-States'
0.205479,' Private',' HS-grad',' Never-married',' Handlers-cleaners',' Not-in-family',' White',' Male',0,0,0.397959,' United-States'
0.39726,' Self-emp-not-inc',' Masters',' Divorced',' Exec-managerial',' Not-in-family',' White',' Male',0,0,0.295918,' United-States'
0.328767,' Private',' Bachelors',' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',0,0,0.602041,' United-States'
0.424658,' Private',' Bachelors',' Divorced',' Prof-specialty',' Not-in-family',' Black',' Female',0,0,0.397959,' United-States'
0.232877,' Private',' HS-grad',' Married-civ-spouse',' Craft-repair',' Husband',' White',' Male',0,0,0.295918,' Germany'
0.315068,' State-gov',' Some-college',' Divorced',' Adm-clerical',' Unmarried',' White',' Female',0,0,0.377551,' United-States'
0.438356,' State-gov',' Assoc-voc',' Divorced',' Adm-clerical',' Not-in-family',' Black',' Female',0,0,0.438776,' United-States'
0.356164,' Private',' HS-grad',' Married-civ-spouse',' Machine-op-inspct',' Husband',' White',' Male',0,0.453857,0.520408,' United-States'
0.164384,' Private',' Some-college',' Never-married',' Sales',' Not-in-family',' White',' Male',0,0,0.295918,' United-States'
0.109589,' Private',' HS-grad',' Married-civ-spouse',' Other-service',' Husband',' White',' Male',0,0,0.397959,' Mexico'
0.39726,' Self-emp-inc',' Some-college',' Married-civ-spouse',' Sales',' Husband',' White',' Male',0,0,0.602041,' United-States'
0.630137,' Private',' 11th',' Married-civ-spouse',' Other-service',' Husband',' White',' Male',0,0,0.295918,' United-States'
0.287671,' State-gov',' Some-college',' Separated',' Exec-managerial',' Own-child',' White',' Male',0,0,0.397959,' United-States'
0.479452,' Private',' 10th',' Married-civ-spouse',' Craft-repair',' Husband',' White',' Male',0,0.433196,0.469388,' United-States'
0.452055,' Self-emp-not-inc',' Bachelors',' Married-civ-spouse',' Sales',' Husband',' White',' Male',0,0,0.5,' United-States'
0.30137,' Federal-gov',' Some-college',' Divorced',' Exec-managerial',' Unmarried',' Black',' Female',0,0,0.397959,' United-States'
0.260274,' Private',' HS-grad',' Never-married',' Machine-op-inspct',' Not-in-family',' White',' Male',0,0,0.397959,' United-States'
0.136986,' Private',' HS-grad',' Never-married',' Sales',' Not-in-family',' White',' Male',0,0,0.397959,' Puerto-Rico'
0.109589,' Private',' Some-college',' Never-married',' Adm-clerical',' Unmarried',' Other',' Male',0,0,0.397959,' United-States'
0.136986,' Private',' HS-grad',' Never-married',' Machine-op-inspct',' Own-child',' Black',' Female',0,0,0.397959,' United-States'
0.150685,' Private',' HS-grad',' Never-married',' Handlers-cleaners',' Own-child',' White',' Male',0,0,0.397959,' United-States'
0.342466,' Private',' Masters',' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',0,0,0.602041,' United-States'
0.150685,' Private',' Bachelors',' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',0,0,0.5,' United-States'
0.136986,' Private',' HS-grad',' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male',0,0,0.5,' United-States'
0.561644,' Self-emp-not-inc',' Some-college',' Married-civ-spouse',' Farming-fishing',' Husband',' White',' Male',0,0,0.346939,' United-States'
0.136986,' Private',' 9th',' Never-married',' Farming-fishing',' Own-child',' White',' Male',0,0,0.397959,' United-States'
0.027397,' Private',' HS-grad',' Never-married',' Machine-op-inspct',' Own-child',' White',' Male',0,0,0.397959,' United-States'
0.246575,' Private',' 12th',' Separated',' Other-service',' Not-in-family',' White',' Female',0,0,0.295918,' United-States'
0.150685,' Private',' Some-college',' Divorced',' Adm-clerical',' Not-in-family',' White',' Female',0,0,0.397959,' United-States'
0.054795,' Private',' Assoc-acdm',' Never-married',' Adm-clerical',' Own-child',' White',' Male',0,0,0.346939,' United-States'
0.438356,' Private',' Some-college',' Never-married',' Exec-managerial',' Not-in-family',' Black',' Female',0,0,0.397959,' United-States'
0.013699,' ?',' HS-grad',' Never-married',' ?',' Own-child',' White',' Male',0,0,0.295918,' United-States'
0.452055,' Federal-gov',' Some-college',' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male',0,0,0.397959,' United-States'
0.205479,' Private',' HS-grad',' Married-civ-spouse',' Sales',' Wife',' White',' Female',0,0,0.397959,' United-States'
0.041096,' Private',' HS-grad',' Never-married',' Handlers-cleaners',' Not-in-family',' White',' Male',0,0,0.397959,' United-States'
0.369863,' ?',' Some-college',' Divorced',' ?',' Unmarried',' White',' Female',0,0,0.091837,' Poland'
0.068493,' Private',' HS-grad',' Married-civ-spouse',' Sales',' Husband',' White',' Male',0,0,0.44898,' United-States'
0.068493,' Private',' HS-grad',' Divorced',' Handlers-cleaners',' Own-child',' White',' Male',0,0,0.397959,' United-States'
0.136986,' Private',' Some-college',' Never-married',' Handlers-cleaners',' Not-in-family',' White',' Male',0,0,0.479592,' United-States'
0.465753,' Private',' HS-grad',' Married-civ-spouse',' Adm-clerical',' Wife',' White',' Female',0,0,0.193878,' United-States'
0.054795,' Private',' Some-college',' Never-married',' Sales',' Own-child',' Black',' Male',0,0,0.244898,' United-States'
0.356164,' Private',' Some-college',' Married-civ-spouse',' Adm-clerical',' Wife',' Black',' Female',0,0,0.377551,' United-States'
0.328767,' State-gov',' Bachelors',' Never-married',' Adm-clerical',' Not-in-family',' White',' Male',0,0,0.397959,' United-States'
0.315068,' State-gov',' Assoc-voc',' Married-civ-spouse',' Other-service',' Husband',' Black',' Male',0,0,0.295918,' United-States'
0.465753,' Private',' HS-grad',' Married-civ-spouse',' Handlers-cleaners',' Husband',' White',' Male',0,0,0.397959,' United-States'
0.39726,' Private',' HS-grad',' Divorced',' Tech-support',' Not-in-family',' White',' Female',0,0,0.428571,' United-States'
0.09589,' Private',' Some-college',' Never-married',' Craft-repair',' Own-child',' White',' Male',0,0,0.397959,' United-States'
0.123288,' Self-emp-not-inc',' HS-grad',' Married-civ-spouse',' Craft-repair',' Husband',' White',' Male',0,0,0.5,' United-States'
0.068493,' ?',' HS-grad',' Never-married',' ?',' Unmarried',' Black',' Female',0,0,0.346939,' United-States'
0.39726,' Private',' 7th-8th',' Married-civ-spouse',' Transport-moving',' Husband',' White',' Male',0,0,0.397959,' United-States'
0.246575,' Private',' 12th',' Married-civ-spouse',' Craft-repair',' Wife',' White',' Female',0,0,0.5,' United-States'
0.246575,' Private',' 11th',' Married-civ-spouse',' Farming-fishing',' Husband',' White',' Male',0,0,0.397959,' United-States'
0.219178,' Private',' Bachelors',' Married-civ-spouse',' Exec-managerial',' Husband',' Black',' Male',0,0,0.397959,' ?'
0.082192,' Private',' Some-college',' Never-married',' Prof-specialty',' Own-child',' White',' Male',0,0,0.193878,' United-States'
0.452055,' Private',' Bachelors',' Married-civ-spouse',' Adm-clerical',' Wife',' White',' Female',0,0,0.397959,' United-States'
0.315068,' Local-gov',' HS-grad',' Never-married',' Protective-serv',' Not-in-family',' White',' Male',0,0,0.418367,' United-States'
0.410959,' Private',' 5th-6th',' Married-civ-spouse',' Other-service',' Husband',' Black',' Male',0,0,0.397959,' Jamaica'
0.273973,' Private',' HS-grad',' Married-civ-spouse',' Craft-repair',' Husband',' White',' Male',0,0.373737,0.397959,' United-States'
0.150685,' Private',' HS-grad',' Never-married',' Other-service',' Own-child',' White',' Male',0,0,0.193878,' United-States'
0.191781,' Private',' HS-grad',' Married-civ-spouse',' Other-service',' Husband',' White',' Male',0,0,0.346939,' United-States'
0.232877,' Self-emp-inc',' Masters',' Married-civ-spouse',' Sales',' Husband',' White',' Male',0,0,0.602041,' United-States'
0.109589,' Private',' Bachelors',' Never-married',' Exec-managerial',' Not-in-family',' White',' Male',0,0.365014,0.602041,' United-States'
0.493151,' Private',' HS-grad',' Married-civ-spouse',' Tech-support',' Husband',' White',' Male',0,0,0.397959,' United-States'
0.219178,' Self-emp-not-inc',' Some-college',' Married-civ-spouse',' Craft-repair',' Husband',' White',' Male',0,0,0.5,' United-States'
0.60274,' Private',' 5th-6th',' Married-civ-spouse',' Handlers-cleaners',' Husband',' White',' Male',0.03411,0,0.44898,' United-States'
0.041096,' Private',' 12th',' Never-married',' Machine-op-inspct',' Own-child',' White',' Male',0,0,0.397959,' United-States'
0.013699,' Private',' HS-grad',' Never-married',' Adm-clerical',' Own-child',' White',' Female',0,0,0.397959,' United-States'
0.630137,' ?',' HS-grad',' Married-civ-spouse',' ?',' Husband',' White',' Male',0,0,0.193878,' United-States'
0.136986,' Private',' Bachelors',' Never-married',' Tech-support',' Not-in-family',' Black',' Female',0,0,0.397959,' France'
